point_idx,row,col,x,y,z
229,1,69,202.23,533.15,1912.0
230,1,70,179.8,521.44,1870.0
231,1,71,146.94,473.48,1698.0
232,1,72,141.23,511.96,1836.0
233,1,73,124.04,513.91,1843.0
234,1,74,104.59,505.54,1813.0
235,1,75,85.81,497.74,1785.0
236,1,76,68.69,498.01,1786.0
237,1,77,48.54,469.29,1683.0
238,1,78,33.59,487.14,1747.0
239,1,79,17.66,512.24,1837.0
240,1,80,0.0,537.33,1927.0
241,1,81,-18.63,540.4,1938.0
242,1,82,-35.23,510.84,1832.0
243,1,83,-46.44,448.94,1610.0
244,1,84,-65.88,477.66,1713.0
245,1,85,-88.26,511.96,1836.0
246,1,86,-109.61,529.8,1900.0
247,1,87,-123.71,512.51,1838.0
248,1,88,-127.84,463.44,1662.0
249,1,89,-145.12,467.62,1677.0
250,1,90,-159.42,462.32,1658.0
251,1,91,-164.04,432.49,1551.0
252,1,92,-187.61,453.4,1626.0
253,1,93,-218.37,487.14,1747.0
254,1,94,-238.94,494.95,1775.0
255,1,95,-250.96,485.19,1740.0
256,1,96,-272.61,494.11,1772.0
257,1,97,-301.91,515.02,1847.0
258,1,98,-323.3,520.88,1868.0
259,1,99,-316.78,483.51,1734.0
260,1,100,-348.84,505.82,1814.0
261,1,101,-358.0,494.39,1773.0
262,1,102,-399.38,526.46,1888.0
263,1,103,-405.81,511.68,1835.0
264,1,104,-398.76,481.84,1728.0
265,1,105,-431.0,499.97,1793.0
266,1,106,-408.75,455.91,1635.0
267,1,107,-457.18,491.04,1761.0
268,1,108,-490.53,508.05,1822.0
269,1,109,-535.1,535.1,1919.0
270,1,110,-504.23,487.42,1748.0
271,1,111,-585.42,547.65,1964.0
272,1,112,-576.92,522.83,1875.0
273,1,113,-588.28,516.98,1854.0
274,1,114,-667.25,569.12,2041.0
275,1,115,-619.9,513.63,1842.0
276,1,116,-639.0,514.75,1846.0
277,1,117,-723.27,566.89,2033.0
278,1,118,-677.78,517.25,1855.0
279,1,119,-686.62,510.56,1831.0
280,1,120,-740.0,536.5,1924.0
281,1,121,-733.66,518.93,1861.0
282,1,122,-804.05,555.18,1991.0
283,1,123,-787.64,531.2,1905.0
284,1,124,-800.88,527.85,1893.0
285,1,125,-842.45,542.91,1947.0
286,1,126,-856.3,539.84,1936.0
287,1,127,-874.01,539.28,1934.0
288,1,128,-866.3,523.39,1877.0
289,1,129,-925.34,547.65,1964.0
290,1,130,-888.46,515.3,1848.0
291,1,131,-894.95,508.89,1825.0
292,1,132,-967.0,539.28,1934.0
293,1,133,-1028.91,562.99,2019.0
294,1,134,-1020.8,548.21,1966.0
295,1,135,-1040.76,548.76,1968.0
296,1,136,-980.53,507.77,1821.0
297,1,137,-1092.86,556.01,1994.0
298,1,138,-1071.88,535.94,1922.0
299,1,139,-1137.45,559.08,2005.0
300,1,140,-1097.3,530.36,1902.0
301,1,141,-1126.74,535.66,1921.0
302,1,142,-1157.73,541.51,1942.0
303,1,143,-1138.24,523.95,1879.0
304,1,144,-1171.07,530.64,1903.0
305,1,145,-1084.37,483.79,1735.0
306,1,146,-1247.01,547.93,1965.0
307,1,147,-1274.28,551.55,1978.0
308,1,148,-1297.23,553.23,1984.0
309,1,149,-1307.01,549.32,1970.0
310,1,150,-1204.13,498.85,1789.0
311,1,151,-1316.91,537.89,1929.0
312,1,152,-1271.07,511.96,1836.0
313,1,153,-1255.74,498.85,1789.0
314,1,154,-1366.15,535.38,1920.0
315,1,155,-1360.81,526.18,1887.0
316,1,156,-1411.84,538.73,1932.0
317,1,157,-1404.5,528.97,1897.0
318,1,158,-1431.0,532.03,1908.0
319,1,159,-1429.59,524.78,1882.0
320,2,0,1449.23,507.23,1884.0
321,2,1,1320.97,468.19,1739.0
322,2,2,1317.0,472.76,1756.0
323,2,3,1383.77,503.19,1869.0
324,2,4,1399.42,515.57,1915.0
325,2,5,1333.41,497.8,1849.0
326,2,6,1272.94,481.65,1789.0
327,2,7,1296.45,497.26,1847.0
328,2,8,1298.07,504.8,1875.0
329,2,9,1252.05,493.76,1834.0
330,2,10,1224.32,489.73,1819.0
331,2,11,1223.42,496.46,1844.0
332,2,12,1203.07,495.38,1840.0
333,2,13,1236.92,516.92,1920.0
334,2,14,1194.98,506.96,1883.0
335,2,15,1148.75,494.84,1838.0
336,2,16,1185.84,518.8,1927.0
337,2,17,1175.19,522.3,1940.0
338,2,18,1154.15,521.23,1936.0
339,2,19,1132.01,519.61,1930.0
340,2,20,1029.8,480.57,1785.0
341,2,21,1062.56,504.26,1873.0
342,2,22,1051.8,507.76,1886.0
343,2,23,991.47,487.03,1809.0
344,2,24,1012.84,506.42,1881.0
345,2,25,1012.74,515.57,1915.0
346,2,26,951.75,493.5,1833.0
347,2,27,1004.96,530.92,1972.0
348,2,28,984.0,529.84,1968.0
349,2,29,965.56,530.11,1969.0
350,2,30,886.53,496.46,1844.0
351,2,31,855.14,488.65,1815.0
352,2,32,893.53,521.23,1936.0
353,2,33,855.94,509.92,1894.0
354,2,34,832.42,506.69,1882.0
355,2,35,864.51,537.92,1998.0
356,2,36,801.73,510.19,1895.0
357,2,37,742.16,483.26,1795.0
358,2,38,745.5,497.0,1846.0
359,2,39,783.33,534.96,1987.0
360,2,40,727.69,509.38,1892.0
361,2,41,700.87,503.19,1869.0
362,2,42,640.88,472.23,1754.0
363,2,43,572.43,433.19,1609.0
364,2,44,648.69,504.53,1874.0
365,2,45,626.63,501.3,1862.0
366,2,46,567.53,467.38,1736.0
367,2,47,580.67,492.69,1830.0
368,2,48,547.07,478.69,1778.0
369,2,49,535.34,483.53,1796.0
370,2,50,505.96,472.23,1754.0
371,2,51,456.47,440.73,1637.0
372,2,52,467.92,467.92,1738.0
373,2,53,450.69,467.38,1736.0
374,2,54,438.25,471.96,1753.0
375,2,55,419.95,470.34,1747.0
376,2,56,400.61,467.38,1736.0
377,2,57,390.33,475.19,1765.0
378,2,58,377.38,480.3,1784.0
379,2,59,339.43,452.57,1681.0
380,2,60,317.5,444.5,1651.0
381,2,61,319.89,471.42,1751.0
382,2,62,309.11,480.84,1786.0
383,2,63,294.23,484.61,1800.0
384,2,64,280.0,490.0,1820.0
385,2,65,259.47,484.34,1799.0
386,2,66,242.71,485.42,1803.0
387,2,67,208.87,449.88,1671.0
388,2,68,196.26,457.96,1701.0
389,2,69,195.88,498.61,1852.0
390,2,70,181.05,506.96,1883.0
391,2,71,144.6,449.88,1671.0
392,2,72,140.69,492.42,1829.0
393,2,73,117.85,471.42,1751.0
394,2,74,98.25,458.5,1703.0
395,2,75,88.99,498.34,1851.0
396,2,76,68.8,481.65,1789.0
397,2,77,56.36,526.07,1954.0
398,2,78,33.69,471.69,1752.0
399,2,79,18.31,512.88,1905.0
400,2,80,0.0,520.96,1935.0
401,2,81,-17.71,495.92,1842.0
402,2,82,-35.44,496.19,1843.0
403,2,83,-48.49,452.57,1681.0
404,2,84,-68.11,476.8,1771.0
405,2,85,-85.09,476.53,1770.0
406,2,86,-98.01,457.42,1699.0
407,2,87,-119.47,477.88,1775.0
408,2,88,-141.61,495.65,1841.0
409,2,89,-143.56,446.65,1659.0
410,2,90,-165.38,463.07,1720.0
411,2,91,-192.18,489.19,1817.0
412,2,92,-201.11,469.26,1743.0
413,2,93,-218.62,470.88,1749.0
414,2,94,-238.53,477.07,1772.0
415,2,95,-263.79,492.42,1829.0
416,2,96,-245.38,429.42,1595.0
417,2,97,-284.58,468.73,1741.0
418,2,98,-303.05,471.42,1751.0
419,2,99,-329.21,485.15,1802.0
420,2,100,-298.65,418.11,1553.0
421,2,101,-356.39,475.19,1765.0
422,2,102,-383.09,487.57,1811.0
423,2,103,-387.46,471.69,1752.0
424,2,104,-375.23,437.76,1626.0
425,2,105,-418.75,469.0,1742.0
426,2,106,-434.0,467.38,1736.0
427,2,107,-477.17,494.84,1838.0
428,2,108,-511.53,511.53,1900.0
429,2,109,-525.9,507.76,1886.0
430,2,110,-560.19,522.84,1942.0
431,2,111,-562.47,508.03,1887.0
432,2,112,-589.23,515.57,1915.0
433,2,113,-600.34,509.38,1892.0
434,2,114,-614.94,506.42,1881.0
435,2,115,-620.57,496.46,1844.0
436,2,116,-639.34,497.26,1847.0
437,2,117,-713.31,539.8,2005.0
438,2,118,-663.9,489.19,1817.0
439,2,119,-744.75,534.69,1986.0
440,2,120,-743.07,520.15,1932.0
441,2,121,-724.99,495.11,1839.0
442,2,122,-819.4,546.26,2029.0
443,2,123,-778.54,506.96,1883.0
444,2,124,-780.57,496.73,1845.0
445,2,125,-813.46,506.15,1880.0
446,2,126,-832.86,506.96,1883.0
447,2,127,-906.1,539.8,2005.0
448,2,128,-894.92,522.03,1939.0
449,2,129,-942.3,538.46,2000.0
450,2,130,-905.28,506.96,1883.0
451,2,131,-915.05,502.38,1866.0
452,2,132,-963.5,518.8,1927.0
453,2,133,-1021.26,539.53,2004.0
454,2,134,-1026.0,532.0,1976.0
455,2,135,-975.19,496.46,1844.0
456,2,136,-980.53,490.26,1821.0
457,2,137,-976.12,479.5,1781.0
458,2,138,-1003.84,484.61,1800.0
459,2,139,-1143.12,542.5,2015.0
